fid	failed	selected	county	town	ward	lded	selectionprob	c12demvotes	c12repvotes	c12indvotes	c12othrvotes	c12voidvotes	c12blankvotes	c12demcand	c12repcand	c12indcand	c12othercand	treatment	p12demvotes	p12repvotes	p12convotes	p12wfpvotes	p12greenvotes	p12socvotes	p12lbnvotes	p12constvotes	p12othervotes	p12voidvotes	p12blankvotes	p12demcand	p12repcand	p12concand	p12wfpcand	p12greencand	p12soccand	p12lbncand	p12constcand	c10demvotes	c10repvotes	c10indvotes	c10convotes	c10wfpvotes	c10modervotes	c10othrvotes	c10voidvotes	c10blankvotes	c10demcand	c10repcand	c10indcand	c10concand	c10wfpcand	c10modercand	c10othercand	error08all	c08demvotes	c08repvotes	c08indvotes	c08convotes	c08wfpvotes	c08othrvotes	c08voidvotes	c08blankvotes	c08demcand	c08repcand	c08indcand	c08concand	c08wfpcand	c08othercand	p08demvotes	p08repvotes	p08indvotes	p08convotes	p08wfpvotes	p08swpvotes	p08pslvotes	p08greenvotes	p08lbnvotes	p08psl2votes	p08othervotes	p08scattervotes	p08voidvotes	p08blankvotes	p08demcand	p08repcand	p08indcand	p08concand	p08wfpcand	p08swpcand	p08pslcand	p08greencand	p08lbncand	p08psl2cand	p08othercand	c06demvotes	c06repvotes	c06indvotes	c06convotes	c06wfpvotes	c06lbnvotes	c06othrvotes	c06voidvotes	c06blankvotes	c06demcand	c06repcand	c06indcand	c06concand	c06wfpcand	c06lbncand	c06othercand	c04demvotes	c04repvotes	c04indvotes	c04convotes	c04othrvotes	c04voidvotes	c04blankvotes	c04demcand	c04repcand	c04indcand	c04concand	c04othercand	p04demvotes	p04repvotes	p04indvotes	p04convotes	p04wfpvotes	p04pjvotes	p04swpvotes	p04lbnvotes	p04othervotes	p04voidvotes	p04blankvotes	p04demcand	p04repcand	p04indcand	p04concand	p04wfpcand	p04pjcand	p04swpcand	p04lbncand	p04othercand
68	0	0	"CORTLAND"	"CINCINNATUS"	"N"	17.1000003814697	1.33000004291534	114	245	16	17	0	38	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	175	217	17	11	1	0	3	1	0	0	5	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	99	166	8	23	0	4	0	0	5	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	0	156	203	14	13	13	0	0	69	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CINCINNATUS"	187	236	13	10	6	0	1	0	1	5	0		0	9	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	99	171	6	14	2	4	0	0	24	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	94	257	28	46	0	0	65	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	155	307	4	15	3	0	0	0	0	0	6	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
91	0	0	"CORTLAND"	"CORTLAND"	"1"	1.10000002384186	0.939999997615814	218	236	22	2	0	38	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	273	196	20	9	8	0	6	0	0	0	4	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	169	152	7	21	0	6	0	0	9	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	675	356	19	25	37	0	0	134	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	710	425	22	25	32	1	0	3	1	11	1		0	15	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	198	170	18	14	15	3	0	0	12	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	157	274	24	26	0	0	94	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	267	279	4	9	8	2	0	1	0	0	5	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
81	0	0	"CORTLAND"	"CORTLAND"	"1"	1.20000004768372	0.910000026226044	308	299	27	2	0	34	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	404	208	19	19	9	0	7	0	1	0	3	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	265	163	9	10	0	8	0	0	11	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	675	356	19	25	37	0	0	134	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	710	425	22	25	32	1	0	3	1	11	1		0	15	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	328	163	16	17	26	4	1	0	17	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	250	338	40	33	0	0	97	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	403	314	4	13	14	2	0	1	0	0	7	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
80	0	0	"CORTLAND"	"CORTLAND"	"2"	2.09999990463257	1.14999997615814	151	89	9	2	0	22	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	179	71	6	6	3	1	5	0	2	0	0	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	90	50	4	8	0	8	0	0	2	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	493	185	15	10	33	0	0	97	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	546	217	12	10	28	0	0	0	1	12	1		0	6	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	88	68	4	5	9	1	0	0	7	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	128	122	25	15	0	0	89	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	203	150	7	5	10	1	0	0	2	0	1	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
79	1	1	"CORTLAND"	"CORTLAND"	"2"	2.20000004768372	0.939999997615814	230	144	22	1	1	43	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	1	267	130	10	18	5	1	7	0	2	1	0	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	137	92	5	14	0	18	0	0	7	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	493	185	15	10	33	0	0	97	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	546	217	12	10	28	0	0	0	1	12	1		0	6	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	174	97	10	12	17	3	0	0	17	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	203	199	36	26	0	0	131	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	338	213	15	12	10	4	0	0	2	0	1	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
78	0	1	"CORTLAND"	"CORTLAND"	"3"	3.09999990463257	0.920000016689301	195	167	9	1	0	20	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	1	236	122	13	12	2	0	4	0	0	0	3	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	154	125	7	14	0	9	1	0	6	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	690	242	24	24	32	0	0	233	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	868	285	19	18	30	0	0	3	6	7	2		0	7	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	184	113	13	7	18	6	0	0	9	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	155	201	19	21	0	0	56	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	239	179	10	8	10	1	0	2	0	0	3	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
82	0	0	"CORTLAND"	"CORTLAND"	"3"	3.20000004768372	0.930000007152557	270	143	20	2	0	97	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	354	132	15	15	8	0	4	1	2	0	1	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	89	36	2	10	0	8	0	0	5	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	690	242	24	24	32	0	0	233	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	868	285	19	18	30	0	0	3	6	7	2		0	7	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	112	31	3	8	9	3	0	0	5	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	359	181	30	19	0	0	206	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	529	230	12	9	11	1	0	2	0	0	1	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
85	0	0	"CORTLAND"	"CORTLAND"	"4"	4.09999990463257	0.970000028610229	122	108	11	1	0	25	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	158	80	7	10	4	0	4	1	1	0	2	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	95	70	5	9	0	7	0	0	4	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	424	138	22	11	31	0	0	129	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	512	182	16	11	19	0	1	0	0	11	2		0	1	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	116	70	8	14	13	1	0	0	10	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	138	142	21	16	0	0	65	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	196	147	12	10	10	2	0	1	0	0	4	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
86	0	1	"CORTLAND"	"CORTLAND"	"4"	4.19999980926514	1.22000002861023	108	66	8	1	0	103	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	1	195	74	6	5	3	0	2	0	1	0		"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	26	22	1	2	0	0	0	0	2	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	424	138	22	11	31	0	0	129	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	512	182	16	11	19	0	1	0	0	11	2		0	1	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	47	19	1	2	3	0	0	0	8	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	203	139	19	3	0	0	116	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	317	144	5	1	8	3	0	0	2	0	0	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
88	0	0	"CORTLAND"	"CORTLAND"	"5"	5.09999990463257	0.379999995231628	205	122	18	0	0	41	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	239	105	14	13	3	1	3	1	3	0	4	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	90	52	7	10	0	4	0	0	4	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	398	192	23	21	43	1	0	102	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	471	217	29	12	34	2	1	2	2	5	2		0	3	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	96	57	8	11	11	6	0	0	7	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	164	128	25	21	0	0	74	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	235	151	5	7	10	1	0	2	0	0	1	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
77	0	0	"CORTLAND"	"CORTLAND"	"5"	5.19999980926514	1.57000005245209	160	139	9	2	0	29	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	194	110	10	16	0	0	3	0	1	0	5	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	119	106	5	11	0	6	3	0	13	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	398	192	23	21	43	1	0	102	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	471	217	29	12	34	2	1	2	2	5	2		0	3	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	139	86	12	9	14	3	0	0	11	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	126	186	21	21	0	0	70	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	205	196	5	10	5	1	0	0	0	0	2	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
90	0	0	"CORTLAND"	"CORTLAND"	"6"	6.09999990463257	1.1599999666214	229	189	26	0	0	42	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	297	139	16	18	3	0	9	0	3	0	1	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	161	98	8	24	0	7	0	0	14	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	506	238	27	31	31	0	0	86	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	529	290	19	31	27	0	0	3	0	12	2		0	6	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	187	104	9	21	20	5	0	0	18	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	183	225	27	39	1	0	86	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	281	238	16	13	3	1	0	3	1	0	5	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
92	0	0	"CORTLAND"	"CORTLAND"	"6"	6.19999980926514	1.17999994754791	148	167	11	4	0	23	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	192	132	18	6	4	0	0	0	1	0	0	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	151	86	3	22	0	4	0	0	6	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	506	238	27	31	31	0	0	86	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	529	290	19	31	27	0	0	3	0	12	2		0	6	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	140	106	6	18	7	2	0	0	7	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	118	144	22	33	0	0	53	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	176	158	11	18	1	2	0	0	0	0	4	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
84	0	0	"CORTLAND"	"CORTLAND"	"7"	7.09999990463257	0.639999985694885	195	156	26	0	0	38	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	249	124	16	13	2	0	3	0	4	0	4	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	148	90	9	10	0	9	1	0	20	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	489	213	26	13	23	0	0	135	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	535	286	20	10	18	0	1	5	2	11	1		0	10	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	192	68	5	15	16	2	0	0	14	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	195	191	38	33	0	0	95	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	307	203	12	15	13	0	0	1	0	0	1	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
89	0	0	"CORTLAND"	"CORTLAND"	"7"	7.19999980926514	1.20000004768372	142	131	18	0	0	31	"Dan Lamb"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	0	176	114	10	11	2	0	4	0	1	0	4	"Obama.Biden"	"Romney.Ryan"	"Romney.Ryan"	"Obama.Biden"	"Stein.Honkala"	"Lindsay.Osorio"	"Johnson.Gray"	"Goode.Clymer"	101	77	4	5	0	6	0	0	6	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"None"	"Michael A. Arcuri"	"None"	1	489	213	26	13	23	0	0	135	"Michael A. Arcuri"	"Richard L. Hanna"	"Richard L. Hanna"	"Richard L. Hanna"	"Michael A. Arcuri"	"CORTLAND"	535	286	20	10	18	0	1	5	2	11	1		0	10	"Obama.Biden"	"McCain.Palin"	"McCain.Palin"	"McCain.Palin"	"Obama.Biden"	"Calero.Kennedy"	"LaRiva.Puryear"	"McKinney.Clemente"	"Barr.Root"	"Nader.Gonzalez"	"Chuck.Baldwin"	152	78	8	10	11	0	0	0	16	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Raymond A. Meier"	"Michael A. Arcuri"	"Michael J. Sylvia III"	"None"	103	169	38	14	0	0	81	"Jeffrey A. Miller"	"Sherwood L. Boehlert"	"Sherwood L. Boehlert"	"David L. Walrath"	"None"	179	186	12	13	11	0	1	0	0	0	3	"Kerry.Edwards"	"Bush.Cheney"	"Nader.Pierce"	"Bush.Cheney"	"Kerry.Edwards"	"Nader.Camejo"	"Calero.Hawkins"	"Badnarik.Campagn"	"Cobb.Peroutka"
